rxn_id,rxn_type,rxn_date,temperature_deg_c,time_h,startingmat_1_name,startingmat_1_smiles,startingmat_1_eq,startingmat_2_name,startingmat_2_smiles,startingmat_2_eq,reagent_1_name,reagent_1_smiles,reagent_1_eq,catalyst_name,catalyst_smiles,catalyst_eq,solvent_1_name,solvent_1_smiles,solvent_1_fraction,startingmat_1_area%,product_1_name,product_1_smiles,product_1_area%,suff_yield,contains_water,additives_name_merged,additives_smiles_merged,additives_fraction_merged,YieldCategory
ELN032036-538_1_1_B9,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.1826130658944465,KOH,[OH-].[K+],2.026193306519994,IPENT Cl,CCC(CC)c1cccc(C(CC)CC)c1N2C(=C(Cl)N(C2=[Pd](Cl)Cl)c3c(cccc3C(CC)CC)C(CC)CC)Cl.Cc4ccccn4,0.0671841318726258,Dioxane,C1COCCO1,1.0,0.1936288154798122,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.6220729795133328,1,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
ELN032036-538_1_1_B10,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.1950820496755652,KOH,[OH-].[K+],1.9567827498710757,P(tBu)3,Cl[Pd](C/C=C/C)[P](C(C)(C)C)(C(C)(C)C)C(C)(C)C,0.0781603824227565,Dioxane,C1COCCO1,1.0,0.0,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.8839887715584864,1,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
ELN032036-538_1_1_B11,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.1795824774228325,KOH,[OH-].[K+],1.8625927165708624,XantPhos,CC1(C)C2=CC=CC3=C2OC4=C1C=CC=C4[P]([Pd](Cl)(CC=C)[P](C5=CC=CC=C5)3C6=CC=CC=C6)(C7=CC=CC=C7)C8=CC=CC=C8,0.0612202744655216,Dioxane,C1COCCO1,1.0,0.3396945561615544,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.0,0,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",VLowYield
ELN032036-538_1_1_B12,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.1659206772287076,KOH,[OH-].[K+],2.0504375257700023,SPhos,Cl[Pd](C/C=C/C)[P](C1=C(C2=C(OC)C=CC=C2OC)C=CC=C1)(C3CCCCC3)C4CCCCC4,0.0756292521777917,Dioxane,C1COCCO1,1.0,0.3829868161384212,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.0,0,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",VLowYield
ELN032036-538_1_1_C1,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.153874353760443,NaHCO3,[Na+].OC([O-])=O,1.955691867773136,GPhos,COc1ccc(OC(C)(C)C)c2c1[C]3(=C(C=CC=C3C(C)C)C(C)C)[Pd](Br)(c4ccc(cc4)C(F)(F)F)P2(C5CCCCC5)C6CCCCC6,0.0731641259346216,tAmOH,CCC(C)(C)O,1.0,0.3741282711605724,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.0,0,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",VLowYield
ELN032036-538_1_1_C2,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.2199645741101823,NaHCO3,[Na+].OC([O-])=O,2.1218332603842125,BINAP,Cl[Pd]1(CC=C)[P](C(C=CC2=C3C=CC=C2)=C3C4=C(C=CC=C5)C5=CC=C4[P](C6=CC=CC=C6)1C7=CC=CC=C7)(C8=CC=CC=C8)C9=CC=CC=C9,0.0633043017356237,tAmOH,CCC(C)(C)O,1.0,0.4067494935771729,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.0,0,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",VLowYield
ELN032036-538_1_1_C3,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.1997505331813505,NaHCO3,[Na+].OC([O-])=O,2.11434910370408,AlPhos,nF2,0.06552997525747,tAmOH,CCC(C)(C)O,1.0,0.5045288244320995,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.0,0,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",VLowYield
ELN032036-538_1_1_C4,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.2231580314530184,NaHCO3,[Na+].OC([O-])=O,2.1218332603842125,BrettPhos,C/C=C/C[Pd](OS(=O)(C(F)(F)F)=O)[P](C1=C(C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C)C(OC)=CC=C1OC)(C3CCCCC3)C4CCCCC4,0.0723232146402378,tAmOH,CCC(C)(C)O,1.0,0.4197219974665601,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.0383759967501908,0,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",VLowYield
ELN032036-538_1_1_C5,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.2694069712516567,NaHCO3,[Na+].OC([O-])=O,2.103221340974506,meCgPPh,CS(=O)(=O)O[Pd]c1ccccc1-c2ccccc2N.CC34CC5(C)OC(C)(CC(C)(O3)P5c6ccccc6)O4,0.0770002306940308,tAmOH,CCC(C)(C)O,1.0,0.4717919895889265,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.0,0,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",VLowYield
ELN032036-538_1_1_C6,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.1868665334678727,NaHCO3,[Na+].OC([O-])=O,2.0013993335486093,XPhos,CS(=O)(=O)O[Pd]c1ccccc1-c2ccccc2N.CC(C)c3cc(C(C)C)c(c(c3)C(C)C)-c4ccccc4P(C(C)(C)C)C(C)(C)C,0.0810707636632458,tAmOH,CCC(C)(C)O,1.0,0.3379216258346225,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.0,0,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",VLowYield
