rxn_id,rxn_type,rxn_date,temperature_deg_c,time_h,startingmat_1_name,startingmat_1_smiles,startingmat_1_eq,startingmat_2_name,startingmat_2_smiles,startingmat_2_eq,reagent_1_name,reagent_1_smiles,reagent_1_eq,catalyst_name,catalyst_smiles,catalyst_eq,solvent_1_name,solvent_1_smiles,solvent_1_fraction,startingmat_1_area%,product_1_name,product_1_smiles,product_1_area%,contains_water,additives_name_merged,additives_smiles_merged,additives_fraction_merged,YieldCategory
ELN032036-538_1_1_G12,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.2379368532656332,NaOtBu,[Na+].CC(C)(C)[O-],1.963961105087037,SPhos,Cl[Pd](C/C=C/C)[P](C1=C(C2=C(OC)C=CC=C2OC)C=CC=C1)(C3CCCCC3)C4CCCCC4,0.080138637732192,tAmOH,CCC(C)(C)O,1.0,0.0,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.8747740207154665,False,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
ELN032036-538_1_1_H1,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.205024378629323,NaOtBu,[Na+].CC(C)(C)[O-],1.954162716359936,GPhos,COc1ccc(OC(C)(C)C)c2c1[C]3(=C(C=CC=C3C(C)C)C(C)C)[Pd](Br)(c4ccc(cc4)C(F)(F)F)P2(C5CCCCC5)C6CCCCC6,0.0857496579122168,PhMe,Cc1ccccc1,1.0,0.3039702080600007,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.3486151308991966,False,NoAdditive,NoAdditive,"frozenset({nan, nan})",MidYield
ELN032036-538_1_1_H4,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.1458390679042096,NaOtBu,[Na+].CC(C)(C)[O-],1.830781210899596,BrettPhos,C/C=C/C[Pd](OS(=O)(C(F)(F)F)=O)[P](C1=C(C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C)C(OC)=CC=C1OC)(C3CCCCC3)C4CCCCC4,0.0664108212837065,PhMe,Cc1ccccc1,1.0,0.2021521268456297,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.2117287460968805,False,NoAdditive,NoAdditive,"frozenset({nan, nan})",MidYield
ELN032036-538_1_1_H6,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.2214377720652685,NaOtBu,[Na+].CC(C)(C)[O-],2.006888212258528,XPhos,CS(=O)(=O)O[Pd]c1ccccc1-c2ccccc2N.CC(C)c3cc(C(C)C)c(c(c3)C(C)C)-c4ccccc4P(C(C)(C)C)C(C)(C)C,0.0759768291712589,PhMe,Cc1ccccc1,1.0,0.1605267328145028,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.4777508439058323,False,NoAdditive,NoAdditive,"frozenset({nan, nan})",MidYield
ELN032036-538_1_1_H7,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.169577216597245,NaOtBu,[Na+].CC(C)(C)[O-],1.9866847573908664,IHept,CCCC(CCC)c1cccc(C(CCC)CCC)c1N2C(=C(Cl)N(C2=[Pd](Cl)Cl)c3c(cccc3C(CCC)CCC)C(CCC)CCC)Cl.Clc4cccnc4,0.0772170570514988,PhMe,Cc1ccccc1,1.0,0.0,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.6301144537219455,False,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
ELN032036-538_1_1_H8,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.226497610332137,NaOtBu,[Na+].CC(C)(C)[O-],2.038676596170269,CataCXiumA,CCCCP(C12CC3CC(CC(C3)C1)C2)C45CC6CC(CC(C6)C4)C5.Cl[Pd]CC=C,0.0754210042672903,PhMe,Cc1ccccc1,1.0,0.0,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.8273239967909576,False,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
ELN032036-538_1_1_H9,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.2039858785959967,NaOtBu,[Na+].CC(C)(C)[O-],2.056092154277405,IPENT Cl,CCC(CC)c1cccc(C(CC)CC)c1N2C(=C(Cl)N(C2=[Pd](Cl)Cl)c3c(cccc3C(CC)CC)C(CC)CC)Cl.Cc4ccccn4,0.0832810761310734,PhMe,Cc1ccccc1,1.0,0.0,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.6005346497863205,False,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
ELN032036-538_1_1_H10,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.2122327223710143,NaOtBu,[Na+].CC(C)(C)[O-],2.0605190377007334,P(tBu)3,Cl[Pd](C/C=C/C)[P](C(C)(C)C)(C(C)(C)C)C(C)(C)C,0.0823234212446277,PhMe,Cc1ccccc1,1.0,0.0,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.5545600301888322,False,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
ELN032036-538_1_1_H11,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.2281234892438808,NaOtBu,[Na+].CC(C)(C)[O-],1.9829664223846268,XantPhos,CC1(C)C2=CC=CC3=C2OC4=C1C=CC=C4[P]([Pd](Cl)(CC=C)[P](C5=CC=CC=C5)3C6=CC=CC=C6)(C7=CC=CC=C7)C8=CC=CC=C8,0.0765729083616065,PhMe,Cc1ccccc1,1.0,0.0,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.6223283125974389,False,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
ELN032036-538_1_1_H12,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.2442963899434862,NaOtBu,[Na+].CC(C)(C)[O-],1.9808510536243409,SPhos,Cl[Pd](C/C=C/C)[P](C1=C(C2=C(OC)C=CC=C2OC)C=CC=C1)(C3CCCCC3)C4CCCCC4,0.083717486241445,PhMe,Cc1ccccc1,1.0,0.0,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.6893039221102462,False,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
