feature,importance
catalyst_emb_649,0.0006907183112060213
solvent_1_emb_173,0.000690619719873067
base_emb_297,0.0006884942583008679
catalyst_emb_584,0.0006864432273397135
product_1_smiles_emb_732,0.0006844163083893359
catalyst_emb_25,0.0006822488091094591
solvent_1_emb_661,0.0006800203722023462
catalyst_emb_308,0.000679567017688608
product_1_smiles_emb_9,0.0006744012507575418
base_emb_612,0.0006725920218600166
catalyst_emb_511,0.0006654862853507684
base_emb_605,0.0006649133937169362
catalyst_emb_361,0.0006586462680713945
solvent_1_emb_571,0.0006581609590544853
catalyst_emb_292,0.0006553969919524612
catalyst_emb_617,0.0006536743714492012
catalyst_emb_315,0.0006514627885940657
solvent_1_emb_183,0.0006496804969530245
catalyst_emb_234,0.000649536750399888
startingmat_1_smiles_emb_675,0.000648138935730689
catalyst_emb_663,0.000643922841046302
catalyst_emb_600,0.0006432258821570179
startingmat_1_smiles_emb_318,0.0006365376974788392
catalyst_emb_645,0.0006358888164777101
base_emb_225,0.0006358120964434201
startingmat_2_smiles_emb_275,0.000635652811038894
catalyst_emb_700,0.0006347847786509262
product_1_smiles_emb_372,0.000633737245738286
catalyst_emb_88,0.0006327080769227426
catalyst_emb_628,0.0006315011124721778
base_emb_566,0.0006305179269660754
base_emb_557,0.0006288151318938986
product_1_smiles_emb_381,0.0006287116207365232
startingmat_1_smiles_emb_300,0.000627876468363251
catalyst_emb_677,0.0006265832364963511
catalyst_emb_121,0.0006204317510802728
base_emb_564,0.000620062033581694
catalyst_emb_653,0.0006107639551147988
solvent_1_emb_512,0.0006101739658733249
base_emb_568,0.0006047088690306952
catalyst_emb_304,0.0006032061792924001
base_emb_633,0.0006019429534833558
solvent_1_emb_554,0.0005982014513666439
catalyst_emb_662,0.0005895113852603893
catalyst_emb_327,0.0005844106476917214
catalyst_emb_486,0.0005825668338898495
solvent_1_emb_519,0.0005822714495800494
startingmat_1_smiles_emb_728,0.0005810243471559893
startingmat_1_smiles_emb_315,0.000579828732399386
catalyst_emb_611,0.0005788393118682747
catalyst_emb_7,0.0005757025584663002
base_emb_530,0.0005731156076211715
solvent_1_emb_514,0.0005729996751249109
catalyst_emb_320,0.0005716496947882027
base_emb_228,0.0005675090049375178
catalyst_emb_635,0.0005595482419127815
catalyst_emb_629,0.0005594936367328201
catalyst_emb_351,0.000557846128796465
catalyst_emb_473,0.0005575164518491156
startingmat_1_smiles_emb_671,0.0005541114949494895
catalyst_emb_85,0.0005534125389037571
catalyst_emb_714,0.0005494613353599856
solvent_1_emb_636,0.0005485916467934998
product_1_smiles_emb_737,0.0005458952420327838
catalyst_emb_748,0.0005398137545146579
solvent_1_emb_588,0.0005356594742578988
product_1_smiles_emb_707,0.0005350189715716256
catalyst_emb_159,0.0005349688478158894
catalyst_emb_293,0.0005322687897202072
catalyst_emb_659,0.0005320586011818189
base_emb_231,0.0005289210684017181
startingmat_2_smiles_emb_351,0.000528087620918097
catalyst_emb_31,0.0005247519799605628
catalyst_emb_274,0.0005230594629374242
product_1_smiles_emb_371,0.000522298254063868
product_1_smiles_emb_724,0.0005214328520770757
startingmat_1_smiles_emb_672,0.0005204602855979419
catalyst_emb_134,0.0005160679053236528
base_emb_229,0.0005115307068513036
catalyst_emb_406,0.0005095684762853941
solvent_1_emb_630,0.000509160715392034
catalyst_emb_325,0.000507436438710256
catalyst_emb_133,0.0005041210615840009
